Date,Close,High,Low,Open,Volume,returns,volatility,arima_pred
2019-11-04,11941.2998046875,11989.150390625,11905.349609375,11928.900390625,823100,0.0042548242520918,0.0077779555219532,0.0003975937851060761
2019-11-05,11917.2001953125,11978.9501953125,11861.900390625,11974.599609375,632000,-0.0020202122992972,0.0073479805817115,0.00028961267240627857
2019-11-06,11966.0498046875,12002.900390625,11850.25,11911.5,603400,0.0040907060383537,0.0072108148755291,0.0005016395381821069
2019-11-07,12012.0498046875,12021.400390625,11946.849609375,12021.099609375,563000,0.0038368392142123,0.006333167027373,0.0002714994883557125
2019-11-08,11908.150390625,12034.150390625,11888.75,11987.150390625,789300,-0.0086872239057793,0.0066629063809355,0.0003300580524631341
2019-11-11,11913.4501953125,11932.650390625,11853.9501953125,11879.2001953125,549000,0.0004449579074941,0.0059283952100241,0.0006925593626867074
2019-11-13,11840.4501953125,11946.7998046875,11823.2001953125,11908.2998046875,659000,-0.0061463783728446,0.0058640430608196,0.0003385318007086392
2019-11-14,11872.099609375,11895.650390625,11802.650390625,11858.75,559500,0.0026694246816312,0.0058011234965457,0.0006145102511992179
2019-11-15,11895.4501953125,11973.650390625,11879.25,11904.2001953125,580200,0.0019649138125061,0.0057982216931305,0.0002891217506701418
2019-11-18,11884.5,11946.2001953125,11867.599609375,11915.150390625,514400,-0.0009209603886071,0.0057013546711471,0.00038227622636459403
2019-11-19,11940.099609375,11958.849609375,11881.75,11919.4501953125,613900,0.0046674203321069,0.0057283469912135,0.0004481709402783816
2019-11-20,11999.099609375,12038.599609375,11966.0498046875,12004.75,646700,0.0049291639974579,0.0054239073055591,0.0002660466271252189
2019-11-21,11968.400390625,12028.2001953125,11956.900390625,12025.650390625,557700,-0.002561738649308,0.0053806966891553,0.0002985178677512847
2019-11-22,11914.400390625,11968.099609375,11883.5,11967.2998046875,486800,-0.0045220903960493,0.0052673953101586,0.0005159028065374197
2019-11-25,12073.75,12084.5,11919.75,11922.4501953125,534300,0.0132858891358918,0.0058791329320668,0.0005265490451982983
2019-11-26,12037.7001953125,12132.4501953125,12006.349609375,12110.2001953125,1201300,-0.0029902665544935,0.0059203745159031,-9.681676233318844e-06
2019-11-27,12100.7001953125,12114.900390625,12055.150390625,12068.5,584200,0.0052199103527662,0.0059508913621497,0.0005969782139003453
2019-11-28,12151.150390625,12158.7998046875,12099.9501953125,12132.099609375,620500,0.0041605293507918,0.0048503218637839,0.00021654072201633955
2019-11-29,12056.0498046875,12147.400390625,12017.400390625,12146.2001953125,804400,-0.0078572552326699,0.005186099508213,0.00033252061213968827
2019-12-02,12048.2001953125,12137.150390625,12023.7001953125,12137.0498046875,720900,-0.0006513050314763,0.0051754671392683,0.0006671321824944024
2019-12-03,11994.2001953125,12068.599609375,11956.400390625,12067.650390625,605800,-0.0044920715009142,0.0052951944430421,0.00037702618771538277
